review_id,prof_ID,rating,admiration_fairness,admiration_instructional_effectiveness,admiration_misc,admiration_workload,amusement_fairness,amusement_instructional_effectiveness,amusement_misc,amusement_workload,anger_fairness,anger_instructional_effectiveness,anger_misc,anger_workload,annoyance_fairness,annoyance_instructional_effectiveness,annoyance_misc,annoyance_workload,approval_fairness,approval_instructional_effectiveness,approval_misc,approval_workload,caring_fairness,caring_instructional_effectiveness,caring_misc,caring_workload,confusion_fairness,confusion_instructional_effectiveness,confusion_misc,confusion_workload,curiosity_fairness,curiosity_instructional_effectiveness,curiosity_misc,curiosity_workload,desire_fairness,desire_instructional_effectiveness,desire_misc,desire_workload,disappointment_fairness,disappointment_instructional_effectiveness,disappointment_misc,disappointment_workload,disapproval_fairness,disapproval_instructional_effectiveness,disapproval_misc,disapproval_workload,disgust_fairness,disgust_instructional_effectiveness,disgust_misc,disgust_workload,embarrassment_fairness,embarrassment_instructional_effectiveness,embarrassment_misc,embarrassment_workload,excitement_fairness,excitement_instructional_effectiveness,excitement_misc,excitement_workload,fear_fairness,fear_instructional_effectiveness,fear_misc,fear_workload,gratitude_fairness,gratitude_instructional_effectiveness,gratitude_misc,gratitude_workload,grief_fairness,grief_instructional_effectiveness,grief_misc,grief_workload,joy_fairness,joy_instructional_effectiveness,joy_misc,joy_workload,love_fairness,love_instructional_effectiveness,love_misc,love_workload,nervousness_fairness,nervousness_instructional_effectiveness,nervousness_misc,nervousness_workload,optimism_fairness,optimism_instructional_effectiveness,optimism_misc,optimism_workload,pride_fairness,pride_instructional_effectiveness,pride_misc,pride_workload,realization_fairness,realization_instructional_effectiveness,realization_misc,realization_workload,relief_fairness,relief_instructional_effectiveness,relief_misc,relief_workload,remorse_fairness,remorse_instructional_effectiveness,remorse_misc,remorse_workload,sadness_fairness,sadness_instructional_effectiveness,sadness_misc,sadness_workload,surprise_fairness,surprise_instructional_effectiveness,surprise_misc,surprise_workload,misc_d,eff_d,fair_d,work_d
1,787,5.0,0.0,0.0,0.022419404370000003,0.29361162,0.0,0.0,0.37802728350000003,0.0012079391,0.0,0.0,0.0017651435760000001,0.00073399703,0.0,0.0,0.012924573840000002,0.005198283,0.0,0.0,0.01370115567,0.41376734,0.0,0.0,0.0016909968240000001,0.0067766677,0.0,0.0,0.0040785332220000005,0.001858179,0.0,0.0,0.0026237497320000004,0.001461633,0.0,0.0,0.001237164921,0.0031106472,0.0,0.0,0.0037656076230000004,0.002141925,0.0,0.0,0.045966260700000004,0.0053084604,0.0,0.0,0.0013035869460000001,0.0006198254,0.0,0.0,0.0008344867050000001,0.00025936431,0.0,0.0,0.00237702276,0.0061575044,0.0,0.0,0.00048045784230000004,0.00040607984,0.0,0.0,0.003796577163,0.0036064645,0.0,0.0,0.00031373636850000005,0.00027021396,0.0,0.0,0.06503331645,0.007771622,0.0,0.0,0.00566496342,0.0014990804,0.0,0.0,0.0003939414102,0.00031469588,0.0,0.0,0.0037385598600000003,0.02011946,0.0,0.0,0.0003058216236,0.0035769294,0.0,0.0,0.00821616453,0.021684675,0.0,0.0,0.0008554949460000002,0.0029592228,0.0,0.0,0.0007388842680000001,0.00027527378,0.0,0.0,0.0024740455320000003,0.0006632704,0.0,0.0,0.0009325715490000001,0.0009787944,0.19,0.0,0.0,0.79
2,787,5.0,0.0,0.017230678,0.0,0.73952746,0.0,0.0018826975,0.0,0.0033853503,0.0,0.0010443476,0.0,0.0008621557,0.0,0.0056493557,0.0,0.0027991468,0.0,0.5683566,0.0,0.21142545,0.0,0.0013192609,0.0,0.0057117287,0.0,0.00261892,0.0,0.0019635146,0.0,0.0015490436,0.0,0.0026993202,0.0,0.0055099092,0.0,0.0019652888,0.0,0.0018377824,0.0,0.0013499834,0.0,0.0071028383,0.0,0.002702,0.0,0.0006580455,0.0,0.000451686,0.0,0.00016113122,0.0,0.00023960895,0.0,0.008398351,0.0,0.029198961,0.0,0.00026807617,0.0,0.00038629823,0.0,0.0011786997,0.0,0.012136493,0.0,0.0001440692,0.0,0.000376121,0.0,0.004106447,0.0,0.045664858,0.0,0.0032112827,0.0,0.0036467342,0.0,0.0001745941,0.0,0.0002722292,0.0,0.039460916,0.0,0.015460346,0.0,0.001059956,0.0,0.006040696,0.0,0.011648793,0.0,0.0126930345,0.0,0.0008945821,0.0,0.003171098,0.0,0.00017024633,0.0,0.00021917699,0.0,0.00037252615,0.0,0.00072953367,0.0,0.0006792905,0.0,0.0028158904,0.0,0.89,0.0,0.97
3,787,4.0,0.0,0.18209389,0.0011008148560000001,0.0,0.0,0.041509535,0.00268183727,0.0,0.0,0.002581156,0.0084387892,0.0,0.0,0.007099365,0.10197252500000001,0.0,0.0,0.06511096,0.0036866805799999998,0.0,0.0,0.013167477,0.00106566383,0.0,0.0,0.0038761166,0.0030670886800000003,0.0,0.0,0.0028693622,0.000987768124,0.0,0.0,0.0029551645,0.001326861352,0.0,0.0,0.0022995775,0.197437626,0.0,0.0,0.005827168,0.061008760599999996,0.0,0.0,0.0008884413,0.00311242002,0.0,0.0,0.0011260841,0.00414163235,0.0,0.0,0.027498942,0.00177182714,0.0,0.0,0.00082005595,0.000529103906,0.0,0.0,0.017852284,0.000691214794,0.0,0.0,0.0011667635,0.0009186668719999999,0.0,0.0,0.90597945,0.0132747965,0.0,0.0,0.015820336,0.000976302916,0.0,0.0,0.0014704171,0.00301215854,0.0,0.0,0.009728043,0.000898355416,0.0,0.0,0.009940398,0.0005034278,0.0,0.0,0.010186331,0.00791612048,0.0,0.0,0.02697478,0.002367070654,0.0,0.0,0.00085608254,0.0013772183439999999,0.0,0.0,0.0031089392,0.0392016892,0.0,0.0,0.0019133284,0.001256756368,0.0,0.62,0.36,0.0,0.0
4,787,5.0,0.011464441,0.0,0.00420027344,0.21201876,0.0023110094,0.0,0.0004868995648,0.0012466346,0.0006661501,0.0,0.000734082624,0.0010090447,0.002945644,0.0,0.0040773695599999995,0.008355792,0.6639317,0.0,0.208872972,0.19636896,0.0022108625,0.0,0.016867128959999998,0.011114522,0.00400054,0.0,0.00143354068,0.0034000482,0.0040642717,0.0,0.00098671936,0.0043347585,0.0037880873,0.0,0.0039450562799999995,0.015889402,0.00096157525,0.0,0.001970414688,0.0040484453,0.003760686,0.0,0.008880433759999999,0.012923194,0.00071668264,0.0,0.0006950363640000001,0.001042853,0.0002475303,0.0,0.00015310783840000002,0.00035097083,0.030996,0.0,0.00072114196,0.01122853,0.0006506494,0.0,0.000602136216,0.0008491349,0.001432692,0.0,0.00103783768,0.0035471574,0.00022188852,0.0,0.0002104274832,0.00030237515,0.013665188,0.0,0.000539079464,0.0031303465,0.003260061,0.0,0.000910692024,0.0018689394,0.00043561312,0.0,0.0002600262016,0.00047521846,0.018105302,0.0,0.05026602504,0.12644441,0.0011663052,0.0,0.000391353952,0.0022104103,0.0131243905,0.0,0.01063908384,0.021252524,0.0024237968,0.0,0.00087726056,0.0014123454,0.00019443827,0.0,0.00034195392,0.00044301467,0.0005857719,0.0,0.000987225712,0.0011879067,0.001862962,0.0,0.00020493884399999998,0.0010836427,0.12,0.0,0.44,0.84
5,787,5.0,0.0,0.5740808,0.0,0.0,0.0,0.13599592,0.0,0.0,0.0,0.0015719334,0.0,0.0,0.0,0.004733882,0.0,0.0,0.0,0.1320566,0.0,0.0,0.0,0.009643646,0.0,0.0,0.0,0.002987211,0.0,0.0,0.0,0.0072871186,0.0,0.0,0.0,0.0022182935,0.0,0.0,0.0,0.002242307,0.0,0.0,0.0,0.0047859037,0.0,0.0,0.0,0.0007961114,0.0,0.0,0.0,0.00044696574,0.0,0.0,0.0,0.007007391,0.0,0.0,0.0,0.0005742632,0.0,0.0,0.0,0.0059560263,0.0,0.0,0.0,0.00037629507,0.0,0.0,0.0,0.13398731,0.0,0.0,0.0,0.0035767674,0.0,0.0,0.0,0.0003849839,0.0,0.0,0.0,0.0130544705,0.0,0.0,0.0,0.0019283269,0.0,0.0,0.0,0.0069031,0.0,0.0,0.0,0.002005389,0.0,0.0,0.0,0.00044737142,0.0,0.0,0.0,0.0016313387,0.0,0.0,0.0,0.0017092277,0.0,0.0,0.0,0.98,0.0,0.0
6,787,5.0,0.0,0.82754266,0.01820689542,0.024109153,0.0,0.3672154,0.00046284465400000006,0.0007879638,0.0,0.0016166292,0.0005980000552000001,0.0012346825,0.0,0.004787121,0.00548974666,0.0058295177,0.0,0.05504874,0.4923806194,0.27300882,0.0,0.0021573214,0.00356370278,0.012214951,0.0,0.0047084,0.0026520161200000005,0.0034874203,0.0,0.0098771695,0.0005838542680000001,0.0012958338,0.0,0.0019805178,0.0013721952980000002,0.0044192607,0.0,0.001664585,0.0039339336,0.0030173832,0.0,0.0028000176,0.0230116026,0.009923931,0.0,0.0012598797,0.0009815491020000002,0.0011849963,0.0,0.00063855207,0.00035611088740000003,0.00040875262,0.0,0.032119595,0.0006696661692000001,0.0014417295,0.0,0.00044843488,0.000482743184,0.00085881224,0.0,0.0025100412,0.0019329474600000003,0.0081093,0.0,0.0005399908,0.0002278057088,0.00031475542,0.0,0.1816469,0.001826831834,0.0010994542,0.0,0.01755622,0.0018505136800000001,0.0022972913,0.0,0.0005632798,0.000359701897,0.00028596193,0.0,0.005142906,0.0109458438,0.026050827,0.0,0.0034511148,0.001180713736,0.0008326394,0.0,0.0075983806,0.032752024260000005,0.012383298,0.0,0.0020976248,0.003150680916,0.0010401903,0.0,0.00030905497,0.00033441871400000003,0.00033657148,0.0,0.001338627,0.000817529832,0.0013699231,0.0,0.0034258086,0.000569542111,0.00072722125,0.18,0.5,0.0,0.76
7,787,5.0,0.0,0.3214854,0.0,0.0,0.0,0.23272015,0.0,0.0,0.0,0.0045135124,0.0,0.0,0.0,0.010118261,0.0,0.0,0.0,0.083114296,0.0,0.0,0.0,0.0066547217,0.0,0.0,0.0,0.0022980766,0.0,0.0,0.0,0.002104896,0.0,0.0,0.0,0.0020884797,0.0,0.0,0.0,0.0026361672,0.0,0.0,0.0,0.004762262,0.0,0.0,0.0,0.0022140297,0.0,0.0,0.0,0.000901409,0.0,0.0,0.0,0.009089107,0.0,0.0,0.0,0.0016753495,0.0,0.0,0.0,0.012197344,0.0,0.0,0.0,0.00060201884,0.0,0.0,0.0,0.26601547,0.0,0.0,0.0,0.028730344,0.0,0.0,0.0,0.000649852,0.0,0.0,0.0,0.007332995,0.0,0.0,0.0,0.004239743,0.0,0.0,0.0,0.0073434804,0.0,0.0,0.0,0.0072215754,0.0,0.0,0.0,0.00068872474,0.0,0.0,0.0,0.0025543072,0.0,0.0,0.0,0.0015231028,0.0,0.0,0.0,0.98,0.0,0.0
8,787,5.0,0.0,0.6836686,0.00815687482,0.0,0.0,0.0054826434,0.36776569800000003,0.0,0.0,0.0015149169,0.0023478244630000004,0.0,0.0,0.0053942543,0.003291265136,0.0,0.0,0.21549803,0.008905689750000001,0.0,0.0,0.0021725874,0.002276313584,0.0,0.0,0.0022921998,0.0018993255050000003,0.0,0.0,0.0038588755,0.0016726617859999999,0.0,0.0,0.0023508163,0.00301900712,0.0,0.0,0.0023718819,0.0019688221210000002,0.0,0.0,0.0033425477,0.001626569236,0.0,0.0,0.0010303971,0.001435808647,0.0,0.0,0.0005038058,0.000907607853,0.0,0.0,0.046850216,0.01249626582,0.0,0.0,0.00076781487,0.0009744334790000001,0.0,0.0,0.0063853837,0.00428818636,0.0,0.0,0.00047667904,0.0006611067837,0.0,0.0,0.058918417,0.04631973425,0.0,0.0,0.004821583,0.1794155412,0.0,0.0,0.00054081244,0.0005778863193000001,0.0,0.0,0.011087642,0.0027119041,0.0,0.0,0.012716622,0.000674136151,0.0,0.0,0.01589903,0.00465104284,0.0,0.0,0.00715276,0.0009753127489999999,0.0,0.0,0.00028456628,0.001097229578,0.0,0.0,0.0010731261,0.003855900335,0.0,0.0,0.0040712333,0.0016264461540000002,0.0,0.21,0.77,0.0,0.0
9,787,5.0,0.0,0.88858956,0.0115191337,0.4780034,0.0,0.0022211284,0.002489845925,0.005227116,0.0,0.0012644534,0.01558780575,0.0009390515,0.0,0.003734205,0.02184532895,0.0067642797,0.0,0.09390334,0.0104829259,0.4861019,0.0,0.0009912881,0.0008685288099999999,0.0015866193,0.0,0.0070672077,0.0007597479349999999,0.0018404549,0.0,0.035845652,0.0009123790349999999,0.0018812096,0.0,0.0012124188,0.001245639385,0.00075402146,0.0,0.0018327171,0.004402712105,0.0016700282,0.0,0.0032370002,0.00229596288,0.0054662437,0.0,0.00096450123,0.011009489849999998,0.00077798485,0.0,0.0003231052,0.001254282695,0.00021449287,0.0,0.02164373,0.0031483998300000002,0.005324914,0.0,0.00046903285,0.0046572843,0.00024722225,0.0,0.0029682964,0.0004491019625,0.0018941702,0.0,0.00026455798,0.0006270403760000001,0.00017300998,0.0,0.0049895416,0.00165356127,0.009297593,0.0,0.0021951247,0.00167108623,0.0032042572,0.0,0.00024174557,0.00044298384099999993,0.0001101969,0.0,0.004296219,0.001002115065,0.007587134,0.0,0.0015612334,0.0008244124245,0.0022863923,0.0,0.006697059,0.003908706299999999,0.015190304,0.0,0.000603067,0.000338211634,0.0015800407,0.0,0.00020952438,0.0002841603805,0.00010900829,0.0,0.0008199805,0.00371310379,0.0003163371,0.0,0.0069553987,0.00157572643,0.0010545444,0.15,0.67,0.0,0.71
10,787,5.0,0.0,0.14239132,0.0,0.8278204,0.0,0.0061382903,0.0,0.0007889114,0.0,0.0013232619,0.0,0.0020870175,0.0,0.0034117103,0.0,0.014145762,0.0,0.15524223,0.0,0.23945463,0.0,0.0055242456,0.0,0.007766557,0.0,0.0024739113,0.0,0.0068214214,0.0,0.007711032,0.0,0.0016386112,0.0,0.008546568,0.0,0.002670103,0.0,0.0010216818,0.0,0.01995261,0.0,0.0030508009,0.0,0.032180175,0.0,0.0008290652,0.0,0.0019312975,0.0,0.0004443255,0.0,0.00062314066,0.0,0.6047892,0.0,0.002517731,0.0,0.0014668215,0.0,0.0017903049,0.0,0.0032778298,0.0,0.015059341,0.0,0.00039371444,0.0,0.00056102296,0.0,0.097942956,0.0,0.0022112266,0.0,0.007314142,0.0,0.0024138764,0.0,0.0014691881,0.0,0.0006256832,0.0,0.014144054,0.0,0.061299033,0.0,0.005236258,0.0,0.0048504453,0.0,0.004187492,0.0,0.01756322,0.0,0.0035585132,0.0,0.0024556818,0.0,0.0003205515,0.0,0.0008359421,0.0,0.00089817256,0.0,0.0018803986,0.0,0.0031840086,0.0,0.001078205,0.0,0.92,0.0,0.95
